series_name,country_name,category,income_group,year,value
Urban poverty headcount ratio at national poverty lines (% of urban population),Afghanistan,Demographics & Socioeconomics,Low-Income Countries,2002,5.752
Urban poverty headcount ratio at national poverty lines (% of urban population),Bangladesh,Demographics & Socioeconomics,Low-Income Countries,2002,5.752
Urban poverty headcount ratio at national poverty lines (% of urban population),Uganda,Demographics & Socioeconomics,Low-Income Countries,2002,5.752
Urban poverty headcount ratio at national poverty lines (% of urban population),Nepal,Demographics & Socioeconomics,Low-Income Countries,2002,5.752
Urban poverty headcount ratio at national poverty lines (% of urban population),Mozambique,Demographics & Socioeconomics,Low-Income Countries,2002,5.752
Urban poverty headcount ratio at national poverty lines (% of urban population),Sudan,Demographics & Socioeconomics,Low-Income Countries,2002,5.752
Urban poverty headcount ratio at national poverty lines (% of urban population),Madagascar,Demographics & Socioeconomics,Low-Income Countries,2002,5.752
Urban poverty headcount ratio at national poverty lines (% of urban population),Rwanda,Demographics & Socioeconomics,Low-Income Countries,2002,5.752
Human capital index (HCI) (scale 0-1),United States,Demographics & Socioeconomics,High-Income Countries,2002,5.752
Human capital index (HCI) (scale 0-1),Germany,Demographics & Socioeconomics,High-Income Countries,2002,5.752
Human capital index (HCI) (scale 0-1),Japan,Demographics & Socioeconomics,High-Income Countries,2002,5.752
Human capital index (HCI) (scale 0-1),Norway,Demographics & Socioeconomics,High-Income Countries,2002,5.752
Human capital index (HCI) (scale 0-1),Australia,Demographics & Socioeconomics,High-Income Countries,2002,5.752
Human capital index (HCI) (scale 0-1),"Korea, Rep.",Demographics & Socioeconomics,High-Income Countries,2002,5.752
Human capital index (HCI) (scale 0-1),Canada,Demographics & Socioeconomics,High-Income Countries,2002,5.752
Human capital index (HCI) (scale 0-1),United Kingdom,Demographics & Socioeconomics,High-Income Countries,2002,5.752
Human capital index (HCI) (scale 0-1),Switzerland,Demographics & Socioeconomics,High-Income Countries,2002,5.752
Human capital index (HCI) (scale 0-1),Italy,Demographics & Socioeconomics,High-Income Countries,2002,5.752
Human capital index (HCI) (scale 0-1),Sweden,Demographics & Socioeconomics,High-Income Countries,2002,5.752
Human capital index (HCI) (scale 0-1),Brazil,Demographics & Socioeconomics,Middle-Income Countries,2002,5.752
Human capital index (HCI) (scale 0-1),India,Demographics & Socioeconomics,Middle-Income Countries,2002,5.752
Human capital index (HCI) (scale 0-1),South Africa,Demographics & Socioeconomics,Middle-Income Countries,2002,5.752
Human capital index (HCI) (scale 0-1),Mexico,Demographics & Socioeconomics,Middle-Income Countries,2002,5.752
Human capital index (HCI) (scale 0-1),Indonesia,Demographics & Socioeconomics,Middle-Income Countries,2002,5.752
Human capital index (HCI) (scale 0-1),Philippines,Demographics & Socioeconomics,Middle-Income Countries,2002,5.752
Human capital index (HCI) (scale 0-1),"Egypt, Arab Rep.",Demographics & Socioeconomics,Middle-Income Countries,2002,5.752
Human capital index (HCI) (scale 0-1),Colombia,Demographics & Socioeconomics,Middle-Income Countries,2002,5.752
Human capital index (HCI) (scale 0-1),Argentina,Demographics & Socioeconomics,Middle-Income Countries,2002,5.752
Human capital index (HCI) (scale 0-1),Viet Nam,Demographics & Socioeconomics,Middle-Income Countries,2002,5.752
Human capital index (HCI) (scale 0-1),Morocco,Demographics & Socioeconomics,Middle-Income Countries,2002,5.752
Human capital index (HCI) (scale 0-1),Nigeria,Demographics & Socioeconomics,Low-Income Countries,2002,5.752
Human capital index (HCI) (scale 0-1),Ethiopia,Demographics & Socioeconomics,Low-Income Countries,2002,5.752
Human capital index (HCI) (scale 0-1),Haiti,Demographics & Socioeconomics,Low-Income Countries,2002,5.752
Human capital index (HCI) (scale 0-1),Afghanistan,Demographics & Socioeconomics,Low-Income Countries,2002,5.752
