series_name,country_name,category,income_group,year,value
External health expenditure (% of current health expenditure),Ethiopia,Healthcare Expenditure,Low-Income Countries,2002,12.69978905
External health expenditure (% of current health expenditure),Haiti,Healthcare Expenditure,Low-Income Countries,2002,34.86845779
External health expenditure (% of current health expenditure),Afghanistan,Healthcare Expenditure,Low-Income Countries,2002,13.73297024
External health expenditure (% of current health expenditure),Bangladesh,Healthcare Expenditure,Low-Income Countries,2002,9.99173546
External health expenditure (% of current health expenditure),Uganda,Healthcare Expenditure,Low-Income Countries,2002,24.13378525
External health expenditure (% of current health expenditure),Nepal,Healthcare Expenditure,Low-Income Countries,2002,21.64
External health expenditure (% of current health expenditure),Mozambique,Healthcare Expenditure,Low-Income Countries,2002,35.13338852
External health expenditure (% of current health expenditure),Sudan,Healthcare Expenditure,Low-Income Countries,2002,35.13338852
External health expenditure (% of current health expenditure),Madagascar,Healthcare Expenditure,Low-Income Countries,2002,19.77226067
External health expenditure (% of current health expenditure),Rwanda,Healthcare Expenditure,Low-Income Countries,2002,35.20578384
Domestic private health expenditure (% of current health expenditure),United States,Healthcare Expenditure,High-Income Countries,2002,54.79940414
Domestic private health expenditure (% of current health expenditure),Germany,Healthcare Expenditure,High-Income Countries,2002,22.17834282
Domestic private health expenditure (% of current health expenditure),Japan,Healthcare Expenditure,High-Income Countries,2002,19.25
Domestic private health expenditure (% of current health expenditure),Norway,Healthcare Expenditure,High-Income Countries,2002,17.12
Domestic private health expenditure (% of current health expenditure),Australia,Healthcare Expenditure,High-Income Countries,2002,28.06231117
Domestic private health expenditure (% of current health expenditure),"Korea, Rep.",Healthcare Expenditure,High-Income Countries,2002,43.75179672
Domestic private health expenditure (% of current health expenditure),Canada,Healthcare Expenditure,High-Income Countries,2002,27.56201363
Domestic private health expenditure (% of current health expenditure),United Kingdom,Healthcare Expenditure,High-Income Countries,2002,19.82527161
Domestic private health expenditure (% of current health expenditure),Switzerland,Healthcare Expenditure,High-Income Countries,2002,68.63698578
Domestic private health expenditure (% of current health expenditure),Italy,Healthcare Expenditure,High-Income Countries,2002,25.04
Domestic private health expenditure (% of current health expenditure),Sweden,Healthcare Expenditure,High-Income Countries,2002,17.43
Domestic private health expenditure (% of current health expenditure),Brazil,Healthcare Expenditure,Middle-Income Countries,2002,57.29716492
Domestic private health expenditure (% of current health expenditure),India,Healthcare Expenditure,Middle-Income Countries,2002,79.38
Domestic private health expenditure (% of current health expenditure),South Africa,Healthcare Expenditure,Middle-Income Countries,2002,64.82974243
Domestic private health expenditure (% of current health expenditure),Mexico,Healthcare Expenditure,Middle-Income Countries,2002,57.31053543
Domestic private health expenditure (% of current health expenditure),Indonesia,Healthcare Expenditure,Middle-Income Countries,2002,64.58784485
Domestic private health expenditure (% of current health expenditure),Philippines,Healthcare Expenditure,Middle-Income Countries,2002,60.13
Domestic private health expenditure (% of current health expenditure),"Egypt, Arab Rep.",Healthcare Expenditure,Middle-Income Countries,2002,65.53860474
Domestic private health expenditure (% of current health expenditure),Colombia,Healthcare Expenditure,Middle-Income Countries,2002,22.91942024
Domestic private health expenditure (% of current health expenditure),Argentina,Healthcare Expenditure,Middle-Income Countries,2002,43.47652435
Domestic private health expenditure (% of current health expenditure),Viet Nam,Healthcare Expenditure,Middle-Income Countries,2002,51.66178894
Domestic private health expenditure (% of current health expenditure),Morocco,Healthcare Expenditure,Middle-Income Countries,2002,72.58872986
Domestic private health expenditure (% of current health expenditure),Nigeria,Healthcare Expenditure,Low-Income Countries,2002,71.36207581
Domestic private health expenditure (% of current health expenditure),Ethiopia,Healthcare Expenditure,Low-Income Countries,2002,43.13770676
Domestic private health expenditure (% of current health expenditure),Haiti,Healthcare Expenditure,Low-Income Countries,2002,50.88784027
Domestic private health expenditure (% of current health expenditure),Afghanistan,Healthcare Expenditure,Low-Income Countries,2002,85.37560272
Domestic private health expenditure (% of current health expenditure),Bangladesh,Healthcare Expenditure,Low-Income Countries,2002,65.70114136
Domestic private health expenditure (% of current health expenditure),Uganda,Healthcare Expenditure,Low-Income Countries,2002,45.13589478
Domestic private health expenditure (% of current health expenditure),Nepal,Healthcare Expenditure,Low-Income Countries,2002,58.23
Domestic private health expenditure (% of current health expenditure),Mozambique,Healthcare Expenditure,Low-Income Countries,2002,27.25561523
Domestic private health expenditure (% of current health expenditure),Sudan,Healthcare Expenditure,Low-Income Countries,2002,65.79949188
Domestic private health expenditure (% of current health expenditure),Madagascar,Healthcare Expenditure,Low-Income Countries,2002,44.82195282
Domestic private health expenditure (% of current health expenditure),Rwanda,Healthcare Expenditure,Low-Income Countries,2002,40.56259918
Domestic general government health expenditure per capita (current US$),United States,Healthcare Expenditure,High-Income Countries,2002,2397.67480952
Domestic general government health expenditure per capita (current US$),Germany,Healthcare Expenditure,High-Income Countries,2002,1998.07326727
Domestic general government health expenditure per capita (current US$),Japan,Healthcare Expenditure,High-Income Countries,2002,1951.0
Domestic general government health expenditure per capita (current US$),Norway,Healthcare Expenditure,High-Income Countries,2002,3224.0
Domestic general government health expenditure per capita (current US$),Australia,Healthcare Expenditure,High-Income Countries,2002,1268.7619672
Domestic general government health expenditure per capita (current US$),"Korea, Rep.",Healthcare Expenditure,High-Income Countries,2002,299.17860291
Domestic general government health expenditure per capita (current US$),Canada,Healthcare Expenditure,High-Income Countries,2002,1556.9671336
Domestic general government health expenditure per capita (current US$),United Kingdom,Healthcare Expenditure,High-Income Countries,2002,1848.74309255
Domestic general government health expenditure per capita (current US$),Switzerland,Healthcare Expenditure,High-Income Countries,2002,1320.9253014
Domestic general government health expenditure per capita (current US$),Italy,Healthcare Expenditure,High-Income Countries,2002,1321.0
Domestic general government health expenditure per capita (current US$),Sweden,Healthcare Expenditure,High-Income Countries,2002,2031.0
Domestic general government health expenditure per capita (current US$),Brazil,Healthcare Expenditure,Middle-Income Countries,2002,104.12898358
Domestic general government health expenditure per capita (current US$),India,Healthcare Expenditure,Middle-Income Countries,2002,4.0
Domestic general government health expenditure per capita (current US$),South Africa,Healthcare Expenditure,Middle-Income Countries,2002,62.44813335
Domestic general government health expenditure per capita (current US$),Mexico,Healthcare Expenditure,Middle-Income Countries,2002,165.64705078
Domestic general government health expenditure per capita (current US$),Indonesia,Healthcare Expenditure,Middle-Income Countries,2002,6.51863213
Domestic general government health expenditure per capita (current US$),Philippines,Healthcare Expenditure,Middle-Income Countries,2002,10.0
Domestic general government health expenditure per capita (current US$),"Egypt, Arab Rep.",Healthcare Expenditure,Middle-Income Countries,2002,22.60213625
Domestic general government health expenditure per capita (current US$),Colombia,Healthcare Expenditure,Middle-Income Countries,2002,100.38536036
Domestic general government health expenditure per capita (current US$),Argentina,Healthcare Expenditure,Middle-Income Countries,2002,121.46786443
Domestic general government health expenditure per capita (current US$),Viet Nam,Healthcare Expenditure,Middle-Income Countries,2002,9.39764647
Domestic general government health expenditure per capita (current US$),Morocco,Healthcare Expenditure,Middle-Income Countries,2002,16.86726559
Domestic general government health expenditure per capita (current US$),Nigeria,Healthcare Expenditure,Low-Income Countries,2002,3.85358864
Domestic general government health expenditure per capita (current US$),Ethiopia,Healthcare Expenditure,Low-Income Countries,2002,2.29220345
Domestic general government health expenditure per capita (current US$),Haiti,Healthcare Expenditure,Low-Income Countries,2002,3.16589967
Domestic general government health expenditure per capita (current US$),Afghanistan,Healthcare Expenditure,Low-Income Countries,2002,0.15160967
Domestic general government health expenditure per capita (current US$),Bangladesh,Healthcare Expenditure,Low-Income Countries,2002,2.27942359
Domestic general government health expenditure per capita (current US$),Uganda,Healthcare Expenditure,Low-Income Countries,2002,4.83598188
Domestic general government health expenditure per capita (current US$),Nepal,Healthcare Expenditure,Low-Income Countries,2002,2.0
Domestic general government health expenditure per capita (current US$),Mozambique,Healthcare Expenditure,Low-Income Countries,2002,3.74311497
Domestic general government health expenditure per capita (current US$),Sudan,Healthcare Expenditure,Low-Income Countries,2002,5.97563882
Domestic general government health expenditure per capita (current US$),Madagascar,Healthcare Expenditure,Low-Income Countries,2002,5.42231407
Domestic general government health expenditure per capita (current US$),Rwanda,Healthcare Expenditure,Low-Income Countries,2002,1.78061705
Domestic general government health expenditure (% of general government expenditure),United States,Healthcare Expenditure,High-Income Countries,2002,17.21998787
Domestic general government health expenditure (% of general government expenditure),Germany,Healthcare Expenditure,High-Income Countries,2002,16.55490875
Domestic general government health expenditure (% of general government expenditure),Japan,Healthcare Expenditure,High-Income Countries,2002,16.06
Domestic general government health expenditure (% of general government expenditure),Norway,Healthcare Expenditure,High-Income Countries,2002,15.81
Domestic general government health expenditure (% of general government expenditure),Australia,Healthcare Expenditure,High-Income Countries,2002,15.51416302
Domestic general government health expenditure (% of general government expenditure),"Korea, Rep.",Healthcare Expenditure,High-Income Countries,2002,9.08882332
Domestic general government health expenditure (% of general government expenditure),Canada,Healthcare Expenditure,High-Income Countries,2002,15.88256645
Domestic general government health expenditure (% of general government expenditure),United Kingdom,Healthcare Expenditure,High-Income Countries,2002,16.28907013
Domestic general government health expenditure (% of general government expenditure),Switzerland,Healthcare Expenditure,High-Income Countries,2002,8.83963394
Domestic general government health expenditure (% of general government expenditure),Italy,Healthcare Expenditure,High-Income Countries,2002,12.63
Domestic general government health expenditure (% of general government expenditure),Sweden,Healthcare Expenditure,High-Income Countries,2002,12.64
Domestic general government health expenditure (% of general government expenditure),Brazil,Healthcare Expenditure,Middle-Income Countries,2002,9.53710842
Domestic general government health expenditure (% of general government expenditure),India,Healthcare Expenditure,Middle-Income Countries,2002,2.77
Domestic general government health expenditure (% of general government expenditure),South Africa,Healthcare Expenditure,Middle-Income Countries,2002,10.37981224
Domestic general government health expenditure (% of general government expenditure),Mexico,Healthcare Expenditure,Middle-Income Countries,2002,10.43169594
Domestic general government health expenditure (% of general government expenditure),Indonesia,Healthcare Expenditure,Middle-Income Countries,2002,3.98283839
Domestic general government health expenditure (% of general government expenditure),Philippines,Healthcare Expenditure,Middle-Income Countries,2002,4.75
Domestic general government health expenditure (% of general government expenditure),"Egypt, Arab Rep.",Healthcare Expenditure,Middle-Income Countries,2002,6.14118385
Domestic general government health expenditure (% of general government expenditure),Colombia,Healthcare Expenditure,Middle-Income Countries,2002,14.86478043
Domestic general government health expenditure (% of general government expenditure),Argentina,Healthcare Expenditure,Middle-Income Countries,2002,18.4574852
Domestic general government health expenditure (% of general government expenditure),Viet Nam,Healthcare Expenditure,Middle-Income Countries,2002,8.61995983
Domestic general government health expenditure (% of general government expenditure),Morocco,Healthcare Expenditure,Middle-Income Countries,2002,4.18854809
Domestic general government health expenditure (% of general government expenditure),Nigeria,Healthcare Expenditure,Low-Income Countries,2002,2.74149632
Domestic general government health expenditure (% of general government expenditure),Ethiopia,Healthcare Expenditure,Low-Income Countries,2002,8.36865902
Domestic general government health expenditure (% of general government expenditure),Haiti,Healthcare Expenditure,Low-Income Countries,2002,7.3620429
Domestic general government health expenditure (% of general government expenditure),Afghanistan,Healthcare Expenditure,Low-Income Countries,2002,1.21245599
Domestic general government health expenditure (% of general government expenditure),Bangladesh,Healthcare Expenditure,Low-Income Countries,2002,4.5399313
Domestic general government health expenditure (% of general government expenditure),Uganda,Healthcare Expenditure,Low-Income Countries,2002,8.74788189
Domestic general government health expenditure (% of general government expenditure),Nepal,Healthcare Expenditure,Low-Income Countries,2002,6.1
Domestic general government health expenditure (% of general government expenditure),Mozambique,Healthcare Expenditure,Low-Income Countries,2002,6.31664944
Domestic general government health expenditure (% of general government expenditure),Sudan,Healthcare Expenditure,Low-Income Countries,2002,10.70719147
Domestic general government health expenditure (% of general government expenditure),Madagascar,Healthcare Expenditure,Low-Income Countries,2002,14.01566982
Domestic general government health expenditure (% of general government expenditure),Rwanda,Healthcare Expenditure,Low-Income Countries,2002,3.70572662
Domestic general government health expenditure (% of GDP),United States,Healthcare Expenditure,High-Income Countries,2002,6.32594919
Domestic general government health expenditure (% of GDP),Germany,Healthcare Expenditure,High-Income Countries,2002,7.92509031
Domestic general government health expenditure (% of GDP),Japan,Healthcare Expenditure,High-Income Countries,2002,5.94
Domestic general government health expenditure (% of GDP),Norway,Healthcare Expenditure,High-Income Countries,2002,7.45
Domestic general government health expenditure (% of GDP),Australia,Healthcare Expenditure,High-Income Countries,2002,5.66600704
Domestic general government health expenditure (% of GDP),"Korea, Rep.",Healthcare Expenditure,High-Income Countries,2002,2.25798631
Domestic general government health expenditure (% of GDP),Canada,Healthcare Expenditure,High-Income Countries,2002,6.41561842
Domestic general government health expenditure (% of GDP),United Kingdom,Healthcare Expenditure,High-Income Countries,2002,6.13281536
Domestic general government health expenditure (% of GDP),Switzerland,Healthcare Expenditure,High-Income Countries,2002,3.09866619
Domestic general government health expenditure (% of GDP),Italy,Healthcare Expenditure,High-Income Countries,2002,5.9
Domestic general government health expenditure (% of GDP),Sweden,Healthcare Expenditure,High-Income Countries,2002,6.78
Domestic general government health expenditure (% of GDP),Brazil,Healthcare Expenditure,Middle-Income Countries,2002,3.6863513
Domestic general government health expenditure (% of GDP),India,Healthcare Expenditure,Middle-Income Countries,2002,0.77
Domestic general government health expenditure (% of GDP),South Africa,Healthcare Expenditure,Middle-Income Countries,2002,2.30570102
Domestic general government health expenditure (% of GDP),Mexico,Healthcare Expenditure,Middle-Income Countries,2002,2.16505718
Domestic general government health expenditure (% of GDP),Indonesia,Healthcare Expenditure,Middle-Income Countries,2002,0.67425066
Domestic general government health expenditure (% of GDP),Philippines,Healthcare Expenditure,Middle-Income Countries,2002,0.98
Domestic general government health expenditure (% of GDP),"Egypt, Arab Rep.",Healthcare Expenditure,Middle-Income Countries,2002,1.8990773
Domestic general government health expenditure (% of GDP),Colombia,Healthcare Expenditure,Middle-Income Countries,2002,4.36780405
Domestic general government health expenditure (% of GDP),Argentina,Healthcare Expenditure,Middle-Income Countries,2002,4.03350496
Domestic general government health expenditure (% of GDP),Viet Nam,Healthcare Expenditure,Middle-Income Countries,2002,1.7021997
Domestic general government health expenditure (% of GDP),Morocco,Healthcare Expenditure,Middle-Income Countries,2002,1.08123076
Domestic general government health expenditure (% of GDP),Nigeria,Healthcare Expenditure,Low-Income Countries,2002,0.53133184
Domestic general government health expenditure (% of GDP),Ethiopia,Healthcare Expenditure,Low-Income Countries,2002,2.08121538
Domestic general government health expenditure (% of GDP),Haiti,Healthcare Expenditure,Low-Income Countries,2002,0.48891512
Domestic general government health expenditure (% of GDP),Afghanistan,Healthcare Expenditure,Low-Income Countries,2002,0.08418062
Domestic general government health expenditure (% of GDP),Bangladesh,Healthcare Expenditure,Low-Income Countries,2002,0.47014153
Domestic general government health expenditure (% of GDP),Uganda,Healthcare Expenditure,Low-Income Countries,2002,1.46625304
Domestic general government health expenditure (% of GDP),Nepal,Healthcare Expenditure,Low-Income Countries,2002,0.79
Domestic general government health expenditure (% of GDP),Mozambique,Healthcare Expenditure,Low-Income Countries,2002,1.2326442
Domestic general government health expenditure (% of GDP),Sudan,Healthcare Expenditure,Low-Income Countries,2002,1.128654
Domestic general government health expenditure (% of GDP),Madagascar,Healthcare Expenditure,Low-Income Countries,2002,1.7439034
Domestic general government health expenditure (% of GDP),Rwanda,Healthcare Expenditure,Low-Income Countries,2002,0.75874555
Domestic general government health expenditure (% of current health expenditure),United States,Healthcare Expenditure,High-Income Countries,2002,45.20059967
Domestic general government health expenditure (% of current health expenditure),Germany,Healthcare Expenditure,High-Income Countries,2002,77.82165527
Domestic general government health expenditure (% of current health expenditure),Japan,Healthcare Expenditure,High-Income Countries,2002,80.75
Domestic general government health expenditure (% of current health expenditure),Norway,Healthcare Expenditure,High-Income Countries,2002,82.88
Domestic general government health expenditure (% of current health expenditure),Australia,Healthcare Expenditure,High-Income Countries,2002,71.93769073
Domestic general government health expenditure (% of current health expenditure),"Korea, Rep.",Healthcare Expenditure,High-Income Countries,2002,56.24820328
Domestic general government health expenditure (% of current health expenditure),Canada,Healthcare Expenditure,High-Income Countries,2002,72.43798828
Domestic general government health expenditure (% of current health expenditure),United Kingdom,Healthcare Expenditure,High-Income Countries,2002,80.16652679
Domestic general government health expenditure (% of current health expenditure),Switzerland,Healthcare Expenditure,High-Income Countries,2002,31.36301231
Domestic general government health expenditure (% of current health expenditure),Italy,Healthcare Expenditure,High-Income Countries,2002,74.96
Domestic general government health expenditure (% of current health expenditure),Sweden,Healthcare Expenditure,High-Income Countries,2002,82.57
Domestic general government health expenditure (% of current health expenditure),Brazil,Healthcare Expenditure,Middle-Income Countries,2002,42.38710403
Domestic general government health expenditure (% of current health expenditure),India,Healthcare Expenditure,Middle-Income Countries,2002,18.16
Domestic general government health expenditure (% of current health expenditure),South Africa,Healthcare Expenditure,Middle-Income Countries,2002,34.52814102
Domestic general government health expenditure (% of current health expenditure),Mexico,Healthcare Expenditure,Middle-Income Countries,2002,42.68946838
Domestic general government health expenditure (% of current health expenditure),Indonesia,Healthcare Expenditure,Middle-Income Countries,2002,34.0422821
Domestic general government health expenditure (% of current health expenditure),Philippines,Healthcare Expenditure,Middle-Income Countries,2002,37.04
Domestic general government health expenditure (% of current health expenditure),"Egypt, Arab Rep.",Healthcare Expenditure,Middle-Income Countries,2002,34.46139908
Domestic general government health expenditure (% of current health expenditure),Colombia,Healthcare Expenditure,Middle-Income Countries,2002,76.18750763
Domestic general government health expenditure (% of current health expenditure),Argentina,Healthcare Expenditure,Middle-Income Countries,2002,54.55613327
Domestic general government health expenditure (% of current health expenditure),Viet Nam,Healthcare Expenditure,Middle-Income Countries,2002,43.97586823
Domestic general government health expenditure (% of current health expenditure),Morocco,Healthcare Expenditure,Middle-Income Countries,2002,26.62359238
Domestic general government health expenditure (% of current health expenditure),Nigeria,Healthcare Expenditure,Low-Income Countries,2002,21.33314896
Domestic general government health expenditure (% of current health expenditure),Ethiopia,Healthcare Expenditure,Low-Income Countries,2002,44.1625061
Domestic general government health expenditure (% of current health expenditure),Haiti,Healthcare Expenditure,Low-Income Countries,2002,14.24369812
Domestic general government health expenditure (% of current health expenditure),Afghanistan,Healthcare Expenditure,Low-Income Countries,2002,0.89142376
Domestic general government health expenditure (% of current health expenditure),Bangladesh,Healthcare Expenditure,Low-Income Countries,2002,24.30713272
Domestic general government health expenditure (% of current health expenditure),Uganda,Healthcare Expenditure,Low-Income Countries,2002,30.73032188
Domestic general government health expenditure (% of current health expenditure),Nepal,Healthcare Expenditure,Low-Income Countries,2002,20.13
Domestic general government health expenditure (% of current health expenditure),Mozambique,Healthcare Expenditure,Low-Income Countries,2002,37.61099243
Domestic general government health expenditure (% of current health expenditure),Sudan,Healthcare Expenditure,Low-Income Countries,2002,34.20050812
Domestic general government health expenditure (% of current health expenditure),Madagascar,Healthcare Expenditure,Low-Income Countries,2002,35.40578461
Domestic general government health expenditure (% of current health expenditure),Rwanda,Healthcare Expenditure,Low-Income Countries,2002,24.23161316
Current health expenditure per capita (current US$),United States,Healthcare Expenditure,High-Income Countries,2002,5304.52001953
Current health expenditure per capita (current US$),Germany,Healthcare Expenditure,High-Income Countries,2002,2567.50292969
Current health expenditure per capita (current US$),Japan,Healthcare Expenditure,High-Income Countries,2002,2416.0
Current health expenditure per capita (current US$),Norway,Healthcare Expenditure,High-Income Countries,2002,3890.0
Current health expenditure per capita (current US$),Australia,Healthcare Expenditure,High-Income Countries,2002,1763.69567871
Current health expenditure per capita (current US$),"Korea, Rep.",Healthcare Expenditure,High-Income Countries,2002,531.89007568
Current health expenditure per capita (current US$),Canada,Healthcare Expenditure,High-Income Countries,2002,2149.37939453
Current health expenditure per capita (current US$),United Kingdom,Healthcare Expenditure,High-Income Countries,2002,2306.12841797
Current health expenditure per capita (current US$),Switzerland,Healthcare Expenditure,High-Income Countries,2002,4211.72949219
Current health expenditure per capita (current US$),Italy,Healthcare Expenditure,High-Income Countries,2002,1763.0
Current health expenditure per capita (current US$),Sweden,Healthcare Expenditure,High-Income Countries,2002,2459.0
Current health expenditure per capita (current US$),Brazil,Healthcare Expenditure,Middle-Income Countries,2002,245.66194153
Current health expenditure per capita (current US$),India,Healthcare Expenditure,Middle-Income Countries,2002,20.0
Current health expenditure per capita (current US$),South Africa,Healthcare Expenditure,Middle-Income Countries,2002,180.86155701
Current health expenditure per capita (current US$),Mexico,Healthcare Expenditure,Middle-Income Countries,2002,388.02792358
Current health expenditure per capita (current US$),Indonesia,Healthcare Expenditure,Middle-Income Countries,2002,19.14863396
Current health expenditure per capita (current US$),Philippines,Healthcare Expenditure,Middle-Income Countries,2002,27.0
Current health expenditure per capita (current US$),"Egypt, Arab Rep.",Healthcare Expenditure,Middle-Income Countries,2002,65.58682251
Current health expenditure per capita (current US$),Colombia,Healthcare Expenditure,Middle-Income Countries,2002,131.76092529
Current health expenditure per capita (current US$),Argentina,Healthcare Expenditure,Middle-Income Countries,2002,222.64750671
Current health expenditure per capita (current US$),Viet Nam,Healthcare Expenditure,Middle-Income Countries,2002,21.37000656
Current health expenditure per capita (current US$),Morocco,Healthcare Expenditure,Middle-Income Countries,2002,63.35457993
Current health expenditure per capita (current US$),Nigeria,Healthcare Expenditure,Low-Income Countries,2002,18.06385422
Current health expenditure per capita (current US$),Ethiopia,Healthcare Expenditure,Low-Income Countries,2002,5.19038343
Current health expenditure per capita (current US$),Haiti,Healthcare Expenditure,Low-Income Countries,2002,22.22666931
Current health expenditure per capita (current US$),Afghanistan,Healthcare Expenditure,Low-Income Countries,2002,17.00758553
Current health expenditure per capita (current US$),Bangladesh,Healthcare Expenditure,Low-Income Countries,2002,9.37759209
Current health expenditure per capita (current US$),Uganda,Healthcare Expenditure,Low-Income Countries,2002,15.7368412
Current health expenditure per capita (current US$),Nepal,Healthcare Expenditure,Low-Income Countries,2002,10.0
Current health expenditure per capita (current US$),Mozambique,Healthcare Expenditure,Low-Income Countries,2002,9.95218277
Current health expenditure per capita (current US$),Sudan,Healthcare Expenditure,Low-Income Countries,2002,17.47236824
Current health expenditure per capita (current US$),Madagascar,Healthcare Expenditure,Low-Income Countries,2002,15.31476879
Current health expenditure per capita (current US$),Rwanda,Healthcare Expenditure,Low-Income Countries,2002,7.34832239
Current health expenditure (% of GDP),United States,Healthcare Expenditure,High-Income Countries,2002,13.9952774
Current health expenditure (% of GDP),Germany,Healthcare Expenditure,High-Income Countries,2002,10.18365669
Current health expenditure (% of GDP),Japan,Healthcare Expenditure,High-Income Countries,2002,7.35
Current health expenditure (% of GDP),Norway,Healthcare Expenditure,High-Income Countries,2002,8.98
Current health expenditure (% of GDP),Australia,Healthcare Expenditure,High-Income Countries,2002,7.87627029
Current health expenditure (% of GDP),"Korea, Rep.",Healthcare Expenditure,High-Income Countries,2002,4.0143261
Current health expenditure (% of GDP),Canada,Healthcare Expenditure,High-Income Countries,2002,8.85670471
Current health expenditure (% of GDP),United Kingdom,Healthcare Expenditure,High-Income Countries,2002,7.65009499
Current health expenditure (% of GDP),Switzerland,Healthcare Expenditure,High-Income Countries,2002,9.88000202
Current health expenditure (% of GDP),Italy,Healthcare Expenditure,High-Income Countries,2002,7.87
Current health expenditure (% of GDP),Sweden,Healthcare Expenditure,High-Income Countries,2002,8.21
Current health expenditure (% of GDP),Brazil,Healthcare Expenditure,Middle-Income Countries,2002,8.69686985
Current health expenditure (% of GDP),India,Healthcare Expenditure,Middle-Income Countries,2002,4.24
Current health expenditure (% of GDP),South Africa,Healthcare Expenditure,Middle-Income Countries,2002,6.67774487
Current health expenditure (% of GDP),Mexico,Healthcare Expenditure,Middle-Income Countries,2002,5.07164288
Current health expenditure (% of GDP),Indonesia,Healthcare Expenditure,Middle-Income Countries,2002,1.98062706
Current health expenditure (% of GDP),Philippines,Healthcare Expenditure,Middle-Income Countries,2002,2.64
Current health expenditure (% of GDP),"Egypt, Arab Rep.",Healthcare Expenditure,Middle-Income Countries,2002,5.5107379
Current health expenditure (% of GDP),Colombia,Healthcare Expenditure,Middle-Income Countries,2002,5.73296595
Current health expenditure (% of GDP),Argentina,Healthcare Expenditure,Middle-Income Countries,2002,7.3933115
Current health expenditure (% of GDP),Viet Nam,Healthcare Expenditure,Middle-Income Countries,2002,3.87075853
Current health expenditure (% of GDP),Morocco,Healthcare Expenditure,Middle-Income Countries,2002,4.06117535
Current health expenditure (% of GDP),Nigeria,Healthcare Expenditure,Low-Income Countries,2002,2.49063969
Current health expenditure (% of GDP),Ethiopia,Healthcare Expenditure,Low-Income Countries,2002,4.7126298
Current health expenditure (% of GDP),Haiti,Healthcare Expenditure,Low-Income Countries,2002,3.43250132
Current health expenditure (% of GDP),Afghanistan,Healthcare Expenditure,Low-Income Countries,2002,9.44339085
Current health expenditure (% of GDP),Bangladesh,Healthcare Expenditure,Low-Income Countries,2002,1.93417108
Current health expenditure (% of GDP),Uganda,Healthcare Expenditure,Low-Income Countries,2002,4.77135611
Current health expenditure (% of GDP),Nepal,Healthcare Expenditure,Low-Income Countries,2002,3.94
Current health expenditure (% of GDP),Mozambique,Healthcare Expenditure,Low-Income Countries,2002,3.2773509
Current health expenditure (% of GDP),Sudan,Healthcare Expenditure,Low-Income Countries,2002,3.30010891
Current health expenditure (% of GDP),Madagascar,Healthcare Expenditure,Low-Income Countries,2002,4.92547607
Current health expenditure (% of GDP),Rwanda,Healthcare Expenditure,Low-Income Countries,2002,3.13122177
Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),United States,Healthcare Expenditure,High-Income Countries,2002,0.99
Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),Germany,Healthcare Expenditure,High-Income Countries,2002,0.99
Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),Japan,Healthcare Expenditure,High-Income Countries,2002,0.99
Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),Norway,Healthcare Expenditure,High-Income Countries,2002,0.99
Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),Australia,Healthcare Expenditure,High-Income Countries,2002,0.99
Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),"Korea, Rep.",Healthcare Expenditure,High-Income Countries,2002,0.99
Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),Canada,Healthcare Expenditure,High-Income Countries,2002,0.5
Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),United Kingdom,Healthcare Expenditure,High-Income Countries,2002,0.5
Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),Switzerland,Healthcare Expenditure,High-Income Countries,2002,0.5
Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),Italy,Healthcare Expenditure,High-Income Countries,2002,0.5
Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),Sweden,Healthcare Expenditure,High-Income Countries,2002,0.5
Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),Brazil,Healthcare Expenditure,Middle-Income Countries,2002,0.5
Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),India,Healthcare Expenditure,Middle-Income Countries,2002,0.5
Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),South Africa,Healthcare Expenditure,Middle-Income Countries,2002,0.5
Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),Mexico,Healthcare Expenditure,Middle-Income Countries,2002,0.5
Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),Indonesia,Healthcare Expenditure,Middle-Income Countries,2002,0.33
Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),Philippines,Healthcare Expenditure,Middle-Income Countries,2002,0.33
Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),"Egypt, Arab Rep.",Healthcare Expenditure,Middle-Income Countries,2002,0.33
Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),Colombia,Healthcare Expenditure,Middle-Income Countries,2002,0.33
